word,response,cost,win
Bird,Feather,1,1  
Pillow,Feather,1,1  
Quill,Feather,1,1  
Flight,Feather,1,1  
Lightness,Feather,1,1  
Scissors,Feather,1,0  
Fire,Feather,1,0  
Wind,Feather,1,0  
Gravity,Feather,1,0  
Glue,Feather,1,0
Fire,Coal,1,1  
Energy,Coal,1,1  
Blacksmith,Coal,1,1  
Pollution,Coal,1,1  
Fossil,Coal,1,1  
Diamond,Coal,1,0  
Water,Coal,1,0  
Renewable energy,Coal,1,0  
Steam engine,Coal,1,0  
Ash,Coal,1,0
River,Pebble,1,1  
Skipping,Pebble,1,1  
Erosion,Pebble,1,1  
Garden,Pebble,1,1  
Footpath,Pebble,1,1  
Rock,Pebble,1,0  
Hammer,Pebble,1,0  
Concrete,Pebble,1,0  
Landslide,Pebble,1,0  
Time,Pebble,1,0
Photosynthesis,Leaf,2,1  
Oxygen,Leaf,2,1  
Compost,Leaf,2,1  
Autumn,Leaf,2,1  
Nest,Leaf,2,1  
Tree,Leaf,2,0  
Fire,Leaf,2,0  
Scissors,Leaf,2,0  
Herbivore,Leaf,2,0  
Winter,Leaf,2,0
Book,Paper,2,1  
Origami,Paper,2,1  
Document,Paper,2,1  
Recycling,Paper,2,1  
Art,Paper,2,1  
Scissors,Paper,2,0  
Fire,Paper,2,0  
Water,Paper,2,0  
Shredder,Paper,2,0  
Lawsuit,Paper,2,0
Pebble,Rock,2,1  
Mountain,Rock,2,1  
Geology,Rock,2,1  
Sculpture,Rock,2,1  
Foundation,Rock,2,1  
Hammer,Rock,2,0  
Erosion,Rock,2,0  
Earthquake,Rock,2,0  
Lava,Rock,2,0  
Time,Rock,2,0
Fire,Water,3,1  
Thirst,Water,3,1  
River,Water,3,1  
Life,Water,3,1  
Erosion,Water,3,1  
Ice,Water,3,0  
Pollution,Water,3,0  
Desert,Water,3,0  
Evaporation,Water,3,0  
Drought,Water,3,0
Nest,Twig,3,1  
Kindling,Twig,3,1  
Basket,Twig,3,1  
Growth,Twig,3,1  
Fragility,Twig,3,1  
Fire,Twig,3,0  
Axe,Twig,3,0  
Storm,Twig,3,0  
Time,Twig,3,0  
Decay,Twig,3,0
Shield,Sword,4,1  
Armor,Sword,4,1  
Battle,Sword,4,1  
Knight,Sword,4,1  
Honor,Sword,4,1  
Rust,Sword,4,0  
Gun,Sword,4,0  
Time,Sword,4,0  
Peace,Sword,4,0  
Forging,Sword,4,0
Arrow,Shield,4,1  
Defense,Shield,4,1  
Protection,Shield,4,1  
Wall,Shield,4,1  
Battle,Shield,4,1  
Rust,Shield,4,0  
Sword,Shield,4,0  
Time,Shield,4,0  
Neglect,Shield,4,0  
Aging,Shield,4,0
Sword,Gun,5,1  
Bullet,Gun,5,1  
War,Gun,5,1  
Fear,Gun,5,1  
Control,Gun,5,1  
Disarmament,Gun,5,0  
Peace,Gun,5,0  
Law,Gun,5,0  
Time,Gun,5,0  
Technology,Gun,5,0
Wood,Flame,5,1  
Light,Flame,5,1  
Heat,Flame,5,1  
Candle,Flame,5,1  
Energy,Flame,5,1  
Water,Flame,5,0  
Wind,Flame,5,0  
Extinguisher,Flame,5,0  
Time,Flame,5,0  
Rain,Flame,5,0
Knot,Rope,5,1  
Climb,Rope,5,1  
Tie,Rope,5,1  
Strength,Rope,5,1  
Tool,Rope,5,1  
Scissors,Rope,5,0  
Fire,Rope,5,0  
Time,Rope,5,0  
Fraying,Rope,5,0  
Weight,Rope,5,0
Health,Disease,6,1  
Weakness,Disease,6,1  
Infection,Disease,6,1  
Pain,Disease,6,1  
Fear,Disease,6,1  
Cure,Disease,6,0  
Medicine,Disease,6,0  
Immunity,Disease,6,0  
Hygiene,Disease,6,0  
